;Model;Strategy;Sampling Strategy;Vectorizer;N-Gram;Feature Size;Accuracy;Macro-F1;Vec_N-Gram
173;Naive Bayes;prep_masked;Tomek (Undersampling);TF-IDF;(1, 3);69350;0.6927083333333334;0.4992009519411589;"TF-IDF
(1, 3)"
174;FFNN (Updated);prep_masked;Tomek (Undersampling);BoW;(1, 3);69350;0.7604166666666666;0.7008320304286134;"BoW
(1, 3)"
175;FFNN (Updated);prep_masked;Tomek (Undersampling);TF-IDF;(1, 3);69350;0.7302083333333333;0.6950016495825828;"TF-IDF
(1, 3)"
176;Naive Bayes;prep_masked;None (Imbalanced);BoW;(1, 4);100842;0.7302083333333333;0.6355831777347771;"BoW
(1, 4)"
177;Naive Bayes;prep_masked;None (Imbalanced);TF-IDF;(1, 4);100842;0.6885416666666667;0.47921112481124917;"TF-IDF
(1, 4)"
178;FFNN (Updated);prep_masked;None (Imbalanced);BoW;(1, 4);100842;0.7770833333333333;0.7145048690459882;"BoW
(1, 4)"
179;FFNN (Updated);prep_masked;None (Imbalanced);TF-IDF;(1, 4);100842;0.7697916666666667;0.7092929911980805;"TF-IDF
(1, 4)"
180;Naive Bayes;prep_masked;SMOTE (Oversampling);BoW;(1, 4);100842;0.7125;0.6340583008876757;"BoW
(1, 4)"
181;Naive Bayes;prep_masked;SMOTE (Oversampling);TF-IDF;(1, 4);100842;0.6552083333333333;0.607075761302171;"TF-IDF
(1, 4)"
182;FFNN (Updated);prep_masked;SMOTE (Oversampling);BoW;(1, 4);100842;0.709375;0.6691793224720887;"BoW
(1, 4)"
183;FFNN (Updated);prep_masked;SMOTE (Oversampling);TF-IDF;(1, 4);100842;0.7291666666666666;0.684186198561366;"TF-IDF
(1, 4)"
184;Naive Bayes;prep_masked;SMOTETomek (Combined);BoW;(1, 4);100842;0.7114583333333333;0.6324472458940321;"BoW
(1, 4)"
185;Naive Bayes;prep_masked;SMOTETomek (Combined);TF-IDF;(1, 4);100842;0.6552083333333333;0.607075761302171;"TF-IDF
(1, 4)"
186;FFNN (Updated);prep_masked;SMOTETomek (Combined);BoW;(1, 4);100842;0.7239583333333334;0.6732750998717753;"BoW
(1, 4)"
